RowDate,RowTime,TotalLoad,TotalLoadForecast
01/01/2020,0:00,9233.14,8600.52
01/01/2020,0:15,9132.54,8502.06
01/01/2020,0:30,9002.87,8396.45
01/01/2020,0:45,8906.56,8247.78
01/01/2020,1:00,8849.95,8552.35
01/01/2020,1:15,8764.91,8430.58
01/01/2020,1:30,8668.97,8332.72
01/01/2020,1:45,8517.84,8211.21
01/01/2020,2:00,8457.19,8133.36
01/01/2020,2:15,8378.12,8144.42
01/01/2020,2:30,8281.88,8088.97
01/01/2020,2:45,8163.9,7997.9
01/01/2020,3:00,8077.1,7899.2
01/01/2020,3:15,8006.1,7853.76
01/01/2020,3:30,7979.86,7828.18
01/01/2020,3:45,7939.66,7753.16
01/01/2020,4:00,7848.76,7626.34
01/01/2020,4:15,7809.06,7612.76
01/01/2020,4:30,7763.89,7608.98
01/01/2020,4:45,7760.4,7592.34
01/01/2020,5:00,7773.77,7525.65
01/01/2020,5:15,7763.59,7567.1
01/01/2020,5:30,7798.32,7604.06
01/01/2020,5:45,7799.61,7600.53
01/01/2020,6:00,7831.45,7523.81
01/01/2020,6:15,7830.43,7626.8
01/01/2020,6:30,7860.6,7753.57
01/01/2020,6:45,7864.95,7684.77
01/01/2020,7:00,7770.34,7498.44
01/01/2020,7:15,7733.89,7568.67
01/01/2020,7:30,7762.69,7616.81
01/01/2020,7:45,7743.83,7587.89
01/01/2020,8:00,7821.18,7680.11
01/01/2020,8:15,7922.51,7764.1
01/01/2020,8:30,7911.17,7794.44
01/01/2020,8:45,7927.3,7812.84
01/01/2020,9:00,7969,7912.1
01/01/2020,9:15,8090.37,7992.16
01/01/2020,9:30,8162.22,8054.57
01/01/2020,9:45,8192.35,8130.74
01/01/2020,10:00,8234.03,8157.6
01/01/2020,10:15,8325.29,8209.36
01/01/2020,10:30,8411.96,8239.01
01/01/2020,10:45,8476.33,8346.05
01/01/2020,11:00,8519.55,8440.04
01/01/2020,11:15,8653.44,8501.21
01/01/2020,11:30,8683.59,8529.67
01/01/2020,11:45,8747.51,8611.48
01/01/2020,12:00,8720.48,8726.92
01/01/2020,12:15,8743.86,8700.83
01/01/2020,12:30,8790.42,8699.9
01/01/2020,12:45,8787.53,8740.81
01/01/2020,13:00,8817.73,8532.83
01/01/2020,13:15,8793.43,8508.56
01/01/2020,13:30,8797.71,8460.37
01/01/2020,13:45,8720.4,8448.03
01/01/2020,14:00,8585.52,8536.54
01/01/2020,14:15,8527.84,8534.26
01/01/2020,14:30,8594.65,8502.58
01/01/2020,14:45,8568.58,8498.17
01/01/2020,15:00,8619.17,8467.7
01/01/2020,15:15,8639.68,8460.29
01/01/2020,15:30,8678.21,8440
01/01/2020,15:45,8684.43,8459.32
01/01/2020,16:00,8729.43,8640.89
01/01/2020,16:15,8776.82,8675.15
01/01/2020,16:30,8786.72,8760.99
01/01/2020,16:45,8984.37,8890.17
01/01/2020,17:00,9232.58,9045.11
01/01/2020,17:15,9358.01,9169.69
01/01/2020,17:30,9482.21,9278.18
01/01/2020,17:45,9486.23,9278.58
01/01/2020,18:00,9476.64,9437.45
01/01/2020,18:15,9491.78,9421.96
01/01/2020,18:30,9516.89,9400.73
01/01/2020,18:45,9476.74,9318.54
01/01/2020,19:00,9429.89,9258.47
01/01/2020,19:15,9361.26,9353.16
01/01/2020,19:30,9287.62,9301
01/01/2020,19:45,9261.61,9198.73
01/01/2020,20:00,9228.95,9097.02
01/01/2020,20:15,9202.45,9069.95
01/01/2020,20:30,9111.89,8994.21
01/01/2020,20:45,9021.27,8910.79
01/01/2020,21:00,9025.8,8926.6
01/01/2020,21:15,8941.9,8880.95
01/01/2020,21:30,8845.46,8777.25
01/01/2020,21:45,8836.32,8812.19
01/01/2020,22:00,9032.61,8984.16
01/01/2020,22:15,9185.01,9030.63
01/01/2020,22:30,9233.45,9018
01/01/2020,22:45,9228.23,9076.32
01/01/2020,23:00,9421.92,9152.44
01/01/2020,23:15,9354.49,9045.55
01/01/2020,23:30,9258.06,8898.88
01/01/2020,23:45,9132.38,8767.3
02/01/2020,0:00,8998.86,8631.38
02/01/2020,0:15,8894.74,8531.19
02/01/2020,0:30,8753.39,8421.84
02/01/2020,0:45,8656.81,8337.96
02/01/2020,1:00,8631.17,8738.51
02/01/2020,1:15,8463.22,8608.68
02/01/2020,1:30,8397.17,8503.08
02/01/2020,1:45,8288.73,8392.1
02/01/2020,2:00,8235.17,8141.33
02/01/2020,2:15,8166.02,8046.18
02/01/2020,2:30,8084.09,7997.09
02/01/2020,2:45,8037.09,7953.48
02/01/2020,3:00,7978.08,8271.08
02/01/2020,3:15,7918.92,8163.42
02/01/2020,3:30,7890.66,8149.42
02/01/2020,3:45,7903.8,8148.71
02/01/2020,4:00,7893.59,8366.61
02/01/2020,4:15,7883.89,8370.93
02/01/2020,4:30,7911.61,8429.43
02/01/2020,4:45,7939.1,8491.78
02/01/2020,5:00,8065.95,8650.05
