编号,首端节点,末端节点,支路电抗(p.u.),1/2充电电纳(p.u.),Plmax(p.u.),Plmin(p.u.)
1,1,2,0.0575,0.0264,1.3,-1.3
2,1,3,0.1852,0.0204,1.3,-1.3
3,2,4,0.1737,0.0184,0.65,-0.65
4,3,4,0.0379,0.0042,1.3,-1.3
5,2,5,0.1983,0.0209,1.3,-1.3
6,2,6,0.1763,0.0187,0.65,-0.65
7,4,6,0.0414,0.0045,0.9,-0.9
8,5,7,0.116,0.0102,0.7,-0.7
9,6,7,0.082,0.0085,1.3,-1.3
10,6,8,0.042,0.0045,0.32,-0.32
11,6,9,0.208,0,0.65,-0.65
12,6,10,0.556,0,0.32,-0.32
13,9,11,0.208,0,0.65,-0.65
14,9,10,0.11,0,0.65,-0.65
15,4,12,0.256,0,0.65,-0.65
16,12,13,0.14,0,0.65,-0.65
17,12,14,0.2559,0,0.32,-0.32
18,12,15,0.1304,0,0.32,-0.32
19,12,16,0.1987,0,0.32,-0.32
20,14,15,0.1997,0,0.16,-0.16
21,16,17,0.1932,0,0.16,-0.16
22,15,18,0.2185,0,0.16,-0.16
23,18,19,0.1292,0,0.16,-0.16
24,19,20,0.068,0,0.32,-0.32
25,10,20,0.209,0,0.32,-0.32
26,10,17,0.0845,0,0.32,-0.32
27,10,21,0.0749,0,0.32,-0.32
28,10,22,0.1499,0,0.32,-0.32
29,21,22,0.0236,0,0.32,-0.32
30,15,23,0.202,0,0.16,-0.16
31,22,24,0.179,0,0.16,-0.16
32,23,24,0.27,0,0.16,-0.16
33,24,25,0.3292,0,0.16,-0.16
34,25,26,0.38,0,0.16,-0.16
35,25,27,0.2087,0,0.16,-0.16
36,28,27,0.396,0,0.65,-0.65
37,27,29,0.4153,0,0.16,-0.16
38,27,30,0.6027,0,0.16,-0.16
39,29,30,0.4533,0,0.16,-0.16
40,8,28,0.2,0.0214,0.32,-0.32
41,6,28,0.0599,0.0065,0.32,-0.32
