DateTime,Week-ahead Forecast [MW],Day-ahead forecast [MW],Most recent forecast [MW],Measured & upscaled [MW],Monitored Capacity [MW],Day-ahead forecast (11h00) [MW]
01/01/2020 00:00,1484.2,894.36,753.05,456.26,1887.95,863.11
01/01/2020 00:15,1473.05,883.53,753.23,440.81,1887.95,785.64
01/01/2020 00:30,1497.52,864.27,751.39,449.2,1887.95,736.8
01/01/2020 00:45,1513.73,853.21,750.18,467.84,1887.95,707.22
01/01/2020 01:00,1531.32,839.94,563.92,494.78,1887.95,687.16
01/01/2020 01:15,1545.56,821.02,566.58,524.51,1887.95,680.1
01/01/2020 01:30,1547.44,790.68,579.72,510.46,1887.95,678.5
01/01/2020 01:45,1536.55,755,583.58,471.55,1887.95,663.59
01/01/2020 02:00,1549.59,711.39,581.04,457.41,1887.95,616.7
01/01/2020 02:15,1544.72,656.59,568.15,430.31,1887.95,563.5
01/01/2020 02:30,1549.39,611.15,550.33,396.24,1887.95,516.47
01/01/2020 02:45,1555.11,563.41,534.46,358.95,1887.95,481.26
01/01/2020 03:00,1538.91,518.52,513.51,349.45,1887.95,457.95
01/01/2020 03:15,1551.73,485.62,490.44,337.36,1887.95,444.13
01/01/2020 03:30,1541.33,451.84,470.95,322.49,1887.95,428.31
01/01/2020 03:45,1560.27,420.35,456.8,295.07,1887.95,411.43
01/01/2020 04:00,1550.5,395.75,431.35,250.95,1887.95,392.24
01/01/2020 04:15,1581.31,365.08,413.41,234.3,1887.95,360.6
01/01/2020 04:30,1579.65,339.22,391.33,216.05,1887.95,328.84
01/01/2020 04:45,1592.63,319.28,368.05,207.53,1887.95,300.59
01/01/2020 05:00,1587.18,300.04,344.17,192.29,1887.95,280.09
01/01/2020 05:15,1596.25,289.63,322.23,166.75,1887.95,266.69
01/01/2020 05:30,1599.01,280.65,298.21,159.4,1887.95,257.85
01/01/2020 05:45,1584.16,277.24,273.42,152.54,1887.95,255.28
01/01/2020 06:00,1587.26,276.26,251.3,133.97,1887.95,251.76
01/01/2020 06:15,1586.36,268.71,235.76,111.58,1887.95,239.82
01/01/2020 06:30,1601.85,256.49,222.12,120.64,1887.95,225.8
01/01/2020 06:45,1603.36,242.91,213.34,129.27,1887.95,214.14
01/01/2020 07:00,1618.52,228.33,163.83,113.08,1887.95,199.69
01/01/2020 07:15,1628.47,212.53,163.61,116.63,1887.95,185.25
01/01/2020 07:30,1629.85,199.54,168.27,121.91,1887.95,174.79
01/01/2020 07:45,1646.35,182.76,171.66,129.59,1887.95,171.75
01/01/2020 08:00,1640.46,175.71,175.47,174.4,1887.95,170.55
01/01/2020 08:15,1634.71,170.86,180.94,211.48,1887.95,173.95
01/01/2020 08:30,1648.89,174.78,188.76,238.2,1887.95,173.95
01/01/2020 08:45,1644.85,176.89,197.43,262.98,1887.95,164.05
01/01/2020 09:00,1638.95,186.32,206.36,268.75,1887.95,152.66
01/01/2020 09:15,1651.47,194.39,218.52,293.34,1887.95,149.55
01/01/2020 09:30,1652.37,211.61,234.12,280.26,1887.95,153.56
01/01/2020 09:45,1653.28,224.37,251.13,251.99,1887.95,164.33
01/01/2020 10:00,1654.26,235.89,270.7,256.69,1887.95,172.18
01/01/2020 10:15,1655.3,255.57,286.98,276.25,1887.95,172.48
01/01/2020 10:30,1656.34,269.89,303.07,291.03,1887.95,179.25
01/01/2020 10:45,1657.38,289.76,317.19,262.38,1887.95,192.86
01/01/2020 11:00,1658.5,294.85,325.01,249.73,1887.95,193.41
01/01/2020 11:15,1659.7,298.95,335.65,271.86,1887.95,183.31
01/01/2020 11:30,1660.9,294.69,340.41,249.77,1887.95,182.84
01/01/2020 11:45,1662.09,287.32,343.36,223.29,1887.95,193.62
01/01/2020 12:00,1663.38,269.02,342.54,200.7,1887.95,203.27
01/01/2020 12:15,1664.76,250.31,341.02,219.97,1887.95,209.78
01/01/2020 12:30,1666.13,231.12,340.28,215.98,1887.95,219.67
01/01/2020 12:45,1667.51,218,338.24,210.54,1887.95,223.21
